Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KP3AB_UTU_CENTRO,145.190000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,UTUADO (CENTRO) | KP3AB | 123.0,,,,
1,KP3AB_VIL_CENTRO,145.190000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VILLALBA (CENTRO) | KP3AB | 123.0,,,,
2,WP4OCD_AGB_CENTRO,145.230000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUAS BUENAS (CENTRO) | WP4OCD | 77.0,,,,
3,KP3AB_UTU_CENTRO,145.350000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,UTUADO (CENTRO) | KP3AB | 123.0,,,,
4,KP4IA_AGB_CENTRO,145.370000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUAS BUENAS (CENTRO) | KP4IA | OPEN,,,,
5,KP4OG_JAY_CENTRO,145.390000,-,0.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,JAYUYA (CENTRO) | KP4OG | 94.8,,,,
6,KP4RF_BAR_CENTRO,145.410000,-,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BARRANQUITAS (CENTRO) | KP4RF | 127.3,,,,
7,KP4BOL_UTU_CENTRO,145.430000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,UTUADO (CENTRO) | KP4BOL | OPEN,,,,
8,NP3AB_UTU_CENTRO,145.470000,-,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,UTUADO (CENTRO) | NP3AB | 127.3,,,,
9,KP4LP_BAR_CENTRO,145.490000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BARRANQUITAS (CENTRO) | KP4LP | 88.5,,,,
10,KP4DH_COR_CENTRO,146.670000,-,0.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,COROZAL (CENTRO) | KP4DH | 94.8 / DMR C1 S1 TG 667,,,,
11,KP3JD_ORO_CENTRO,146.710000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,OROCOVIS (CENTRO) | KP3JD | 88.5,,,,
12,KP3AB_CAY_CENTRO,146.770000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CAYEY (CENTRO) | KP3AB | 123.0,,,,
13,KP4ARN_LAR_CENTRO,146.790000,-,0.600000,Tone,79.7,79.7,023,NN,023,Tone->Tone,FM,5.00,,5.0W,LARES (CENTRO) | KP4ARN | 79.7,,,,
14,KP4FRA_CAY_CENTRO,146.830000,-,0.600000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CAYEY (CENTRO) | KP4FRA | 136.5,,,,
15,WP4FHR_LAR_CENTRO,147.010000,+,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,LARES (CENTRO) | WP4FHR | 77.0,,,,
16,WP4AZT_VIL_CENTRO,147.050000,+,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VILLALBA (CENTRO) | WP4AZT | 127.3,,,,
17,KP4EC_AGB_CENTRO,147.070000,+,0.600000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUAS BUENAS (CENTRO) | KP4EC | 136.5,,,,
18,KP4ID_CAY_CENTRO,147.090000,+,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CAYEY (CENTRO) | KP4ID | 127.3,,,,
19,WP3B_LAR_CENTRO,147.130000,+,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,LARES (CENTRO) | WP3B | 123.0,,,,
20,WP4IFU_JAY_CENTRO,147.150000,+,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,JAYUYA (CENTRO) | WP4IFU | 77.0,,,,
21,WP4MR_NAR_CENTRO,147.230000,+,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NARANJITO (CENTRO) | WP4MR | 127.3,,,,
22,KP3I_BAR_CENTRO,147.330000,+,0.600000,Tone,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BARRANQUITAS (CENTRO) | KP3I | 151.4,,,,
23,KP4ST_ADJ_CENTRO,147.350000,+,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,ADJUNTAS (CENTRO) | KP4ST | 127.3,,,,
24,KP4QW_CID_CENTRO,147.370000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CIDRA (CENTRO) | KP4QW | OPEN,,,,
25,NP3A-AIB-CENTRO,440.050000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AIBONITO (CENTRO) | NP3A | 100.0,,,,
26,WP4CL-JAY-CENTRO,440.100000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,JAYUYA (CENTRO) | WP4CL | 88.5 / FUSION,,,,
27,KP4ZZ-JAY-CENTRO,440.175000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,JAYUYA (CENTRO) | KP4ZZ | 141.3,,,,
28,NP4PR-LAR-CENTRO,440.850000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,LARES (CENTRO) | NP4PR | 88.5,,,,
29,WP4KY-MOR-CENTRO,447.025000,-,5.000000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MOROVIS (CENTRO) | WP4KY | 94.8,,,,
30,WP4AZT-JAY-CENTRO,447.050000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,JAYUYA (CENTRO) | WP4AZT | 127.3,,,,
31,NP3A-AGB-CENTRO,447.075000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUAS BUENAS (CENTRO) | NP3A | 100.0,,,,
32,KP4LP-BAR-CENTRO,447.250000,-,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BARRANQUITAS (CENTRO) | KP4LP | 136.5,,,,
33,KP4FRE-BAR-CENTRO,447.525000,-,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BARRANQUITAS (CENTRO) | KP4FRE | 136.5,,,,
34,KP4MSR-CAY-CENTRO,447.550000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CAYEY (CENTRO) | KP4MSR | 127.3 / FUSION C4FM,,,,
35,WP3OF-UTU-CENTRO,447.575000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,UTUADO (CENTRO) | WP3OF | 100.0,,,,
36,KP4AOB-BAR-CENTRO,447.950000,-,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BARRANQUITAS (CENTRO) | KP4AOB | 136.5,,,,
37,NP4CQ-BAR-CENTRO,448.125000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BARRANQUITAS (CENTRO) | NP4CQ | 88.5,,,,
38,WP4F-COM-CENTRO,448.225000,-,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,COMERIO (CENTRO) | WP4F | 136.5,,,,
39,KP3AV-VIL-CENTRO,448.275000,-,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VILLALBA (CENTRO) | KP3AV | 131.8,,,,
40,WP4CRG-JAY-CENTRO,448.300000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,JAYUYA (CENTRO) | WP4CRG | 100.0 / FUSION,,,,
