Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KP3AB_FAJ_ESTE,145.190000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FAJARDO (ESTE) | KP3AB | 123.0,,,,
1,NP3CB_FAJ_ESTE,145.250000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FAJARDO (ESTE) | NP3CB | 88.5,,,,
2,KP3AB_CEI_ESTE,145.350000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CEIBA (ESTE) | KP3AB | 123.0,,,,
3,NP3RK_CAN_ESTE,145.450000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CANOVANAS (ESTE) | NP3RK | 77.0,,,,
4,WP4OCK_PIE_ESTE,146.650000,-,0.600000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,LAS PIEDRAS (ESTE) | WP4OCK | 114.8,,,,
5,NP3H_RIO_ESTE,146.690000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,RIO GRANDE (ESTE) | NP3H | OPEN,,,,
6,KP3AB_CAN_ESTE,146.730000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CANOVANAS (ESTE) | KP3AB | 123.0,,,,
7,KP2O_STT_IV,146.810000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAINT THOMAS (IV) | KP2O | 100.0,,,,
8,KP4MCR_LAS_ESTE,146.890000,-,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,LAS PIEDRAS (ESTE) | KP4MCR | 127.3,,,,
9,NP2GO_STT_IV,146.950000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAINT THOMAS (IV) | NP2GO | OPEN,,,,
10,WP2AJS_STT_IV,147.030000,+,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAINT THOMAS (IV) | WP2AJS | 100.0,,,,
11,KP4MCR_SAN_ESTE,147.190000,+,0.600000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN LORENZO (ESTE) | KP4MCR | 71.9,,,,
12,WP2E_STX_IV,147.250000,+,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAINT CROIX (IV) | WP2E (NP2VI) | 100.0,,,,
13,NP3MR_VIE_ESTE,147.270000,+,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VIEQUES (ESTE) | NP3MR | 127.3,,,,
14,NP3EM_RIO_ESTE,147.310000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,RIO GRANDE (ESTE) | NP3EM | 88.5,,,,
15,WP4QYF-VIE-ESTE,440.075000,+,5.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VIEQUES (ESTE) | WP4QYF | 67.0,,,,
16,WP3OF-CAN-ESTE,440.225000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CANOVANAS (ESTE) | WP3OF | 100.0,,,,
17,WP3OF-CUL-ESTE,440.225000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CULEBRA (ESTE) | WP3OF | 100.0,,,,
18,KP4FM-LOI-ESTE,440.275000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,LOIZA (ESTE) | KP4FM | 100.0,,,,
19,KP4JEA-CAN-ESTE,440.450000,+,5.000000,Tone,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CANOVANAS (ESTE) | KP4JEA | 151.4,,,,
20,KP4TOP-RIO-ESTE,440.525000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,RIO GRANDE (ESTE) | KP4TOP | 127.3,,,,
21,WP4CG-GUR-ESTE,440.650000,+,5.000000,Tone,97.4,97.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GURABO (ESTE) | WP4CG | 97.4,,,,
22,KP4JRA-RIO-ESTE,440.700000,+,5.000000,Tone,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,RIO GRANDE (ESTE) | KP4JRA | 192.8,,,,
23,KP4LBA-CUL-ESTE,440.825000,+,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CULEBRA (ESTE) | KP4LBA | 131.8,,,,
24,KP4BW-CAN-ESTE,440.925000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CANOVANAS (ESTE) | KP4BW | 141.3,,,,
25,WP4ROG-PIE-ESTE,446.325000,-,5.000000,Tone,225.7,225.7,023,NN,023,Tone->Tone,FM,5.00,,5.0W,LAS PIEDRAS (ESTE) | WP4ROG | 225.7,,,,
26,WP4ROG-STT-IV,446.325000,-,5.000000,Tone,225.7,225.7,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAINT THOMAS (IV) | WP4ROG | 225.7,,,,
27,NP3MJ-LUQ-ESTE,446.475000,-,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,LUQUILLO (ESTE) | NP3MJ | 123.0,,,,
28,KP4PNP-HUM-ESTE,446.600000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,HUMACAO (ESTE) | KP4PNP | 88.5,,,,
29,KP4LBA-RIO-ESTE,447.100000,-,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,RIO GRANDE (ESTE) | KP4LBA | 131.8,,,,
30,NP2GO-STT-IV,447.450000,-,5.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAINT THOMAS (IV) | NP2GO | 67.0,,,,
31,KP4GX-NAG-ESTE,447.475000,-,5.000000,Tone,225.7,225.7,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NAGUABO (ESTE) | KP4GX | 225.7,,,,
32,KP4GX-CEI-ESTE,447.475000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CEIBA (ESTE) | KP4GX | 100.0,,,,
33,KP4MCR-YAB-ESTE,447.625000,-,5.000000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,YABUCOA (ESTE) | KP4MCR | 71.9,,,,
34,KP4MTG-FAJ-ESTE,448.050000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FAJARDO (ESTE) | KP4MTG | 127.3,,,,
35,KP4HL-CAN-ESTE,448.100000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CANOVANAS (ESTE) | KP4HL | 100.0,,,,
36,K9VV-STX-IV,448.175000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAINT CROIX (IV) | K9VV | OPEN,,,,
37,NP3H-FAJ-ESTE,448.250000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FAJARDO (ESTE) | NP3H | OPEN,,,,
38,WP4DE-CEI-ESTE,448.550000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CEIBA (ESTE) | WP4DE | 100.0,,,,
39,WP4ROG-RIO-ESTE,448.575000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,RIO GRANDE (ESTE) | WP4ROG | OPEN,,,,
40,KP4GX-FAJ-ESTE,448.725000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FAJARDO (ESTE) | KP4GX | OPEN,,,,
41,KP4NCF-SLO-ESTE,448.875000,-,5.000000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN LORENZO (ESTE) | KP4NCF | 77.0,,,,
42,KP2RH-STT-IV,449.275000,-,5.000000,Tone,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAINT THOMAS (IV) | KP2RH | 151.4,,,,
43,KP4LBA-CEI-ESTE,449.500000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CEIBA (ESTE) | KP4LBA | 100.0,,,,
44,WP4OCK-SAN-ESTE,449.525000,-,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN LORENZO (ESTE) | WP4OCK | 114.8,,,,
45,NP3MR-VIE-ESTE,449.675000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VIEQUES (ESTE) | NP3MR | 127.3,,,,
46,KP4HL-RIO-ESTE,449.700000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,RIO GRANDE (ESTE) | KP4HL | 100.0,,,,
47,NP3EM-RIO-ESTE,449.750000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,RIO GRANDE (ESTE) | NP3EM | 100.0,,,,
