Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KP4AMV_SJU_NORTE,145.150000,-,0.600000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN JUAN (NORTE) | KP4AMV | 136.5,,,,
1,WP3ZQ_TOB_NORTE,145.270000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,TOA BAJA (NORTE) | WP3ZQ | 77.0,,,,
2,PRVIVFC_VEA_NORTE,145.290000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VEGA ALTA (NORTE) | PRVIVFC | 100.0,,,,
3,WP3XH_VEA_NORTE,146.610000,-,0.600000,Tone,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VEGA ALTA (NORTE) | WP3XH | 151.4,,,,
4,WP4SE_GUR_NORTE,146.870000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GURABO (NORTE) | WP4SE | 203.5,,,,
5,KP4ZZ_GUR_NORTE,147.110000,+,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GURABO (NORTE) | KP4ZZ | 127.3,,,,
6,WP4JP_GUR_NORTE,147.170000,+,0.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GURABO (NORTE) | WP4JP | 94.8,,,,
7,NP4AF_TOA_NORTE,147.390000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,TOA ALTA (NORTE) | NP4AF | 88.5,,,,
8,KP4ZZ-GUR-NORTE,440.125000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GURABO (NORTE) | KP4ZZ | 127.3,,,,
9,NW4A-GBO-NORTE,440.325000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GUAYNABO (NORTE) | NW4A | 100.0,,,,
10,WP4ARC-ARE-NORTE,440.950000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,ARECIBO (NORTE) | WP4ARC | 127.3,,,,
11,KP4CRN-BAY-NORTE,440.975000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | KP4CRN | 127.3,,,,
12,KP4PDU-BAY-NORTE,445.150000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | KP4PDU | 127.3,,,,
13,WP4RNQ-BAY-NORTE,446.200000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | WP4RNQ | 127.3,,,,
14,WP4HLX-BAY-NORTE,446.275000,-,5.000000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | WP4HLX | 94.8,,,,
15,NP4D-CAR-NORTE,446.650000,-,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CAROLINA (NORTE) | NP4D | 110.9,,,,
16,WP3VT-MAN-NORTE,446.725000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MANATI (NORTE) | WP3VT | OPEN,,,,
17,WP3YQ-CAG-NORTE,446.950000,-,5.000000,Tone,225.7,225.7,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CAGUAS (NORTE) | WP3YQ | 225.7,,,,
18,KP4LBA-SJU-NORTE,447.100000,-,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN JUAN (NORTE) | KP4LBA | 131.8,,,,
19,KP4DW-CAR-NORTE,447.200000,-,5.000000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CAROLINA (NORTE) | KP4DW | 71.9,,,,
20,WP3TM-TOB-NORTE,447.275000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,TOA BAJA (NORTE) | WP3TM | 100.0,,,,
21,KP4DH-BAY-NORTE,447.350000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | KP4DH | 100.0,,,,
22,KP4JMT-ARE-NORTE,447.650000,-,5.000000,Tone,97.4,97.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,ARECIBO (NORTE) | KP4JMT | 97.4,,,,
23,WP4RNQ-BAY-NORTE,448.000000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | WP4RNQ | 127.3,,,,
24,WP4O-GBO-NORTE,448.075000,-,5.000000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GUAYNABO (NORTE) | WP4O | 71.9 / FUSION,,,,
25,WP4X-SJU-NORTE,448.425000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN JUAN (NORTE) | WP4X | 127.3,,,,
26,KP3DB-TOA-NORTE,448.475000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,TOA ALTA (NORTE) | KP3DB | 100.0,,,,
27,KP3I-VEB-NORTE,448.525000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VEGA BAJA (NORTE) | KP3I | 127.3,,,,
28,WP4GT-SJU-NORTE,448.750000,-,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN JUAN (NORTE) | WP4GT | 141.3,,,,
29,NP3EM-SJU-NORTE,448.775000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN JUAN (NORTE) | NP3EM | 100.0,,,,
30,NP3KQ-CAT-NORTE,449.125000,-,5.000000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CATANO (NORTE) | NP3KQ | 71.9,,,,
31,KP4VY-CAG-NORTE,449.225000,-,5.000000,Tone,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CAGUAS (NORTE) | KP4VY | 192.8,,,,
32,KP4NR-TOB-NORTE,449.300000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,TOA BAJA (NORTE) | KP4NR | 88.5,,,,
33,KP4PH-SJU-NORTE,449.450000,-,5.000000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN JUAN (NORTE) | KP4PH | 77.0,,,,
34,NP4UG-BAY-NORTE,449.475000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | NP4UG | 88.5,,,,
35,KP4ILG-BAY-NORTE,449.600000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | KP4ILG | 100.0,,,,
36,WP4KMB-BAY-NORTE,449.625000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | WP4KMB | C4FM/FUSION,,,,
37,KP4KSL-BAY-NORTE,449.650000,-,5.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | KP4KSL | 67.0,,,,
38,KP4POX-SJU-NORTE,449.950000,-,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN JUAN (NORTE) | KP4POX | 123.0,,,,
