Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,WP4SIT_QUE_OESTE,145.130000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,QUEBRADILLA (OESTE) | WP4SIT | 100.0,,,,
1,KP4KJI_AGD_OESTE,145.170000,-,0.600000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUADA (OESTE) | KP4KJI | 114.8 / C4FM FUSION,,,,
2,WP4FD_LAJ_OESTE,145.310000,-,0.600000,DTCS,88.5,88.5,223,NN,023,Tone->Tone,FM,5.00,,5.0W,LAJAS (OESTE) | WP4FD | C4FM / FUSION DCS 223,,,,
3,NP4WX_AGD_OESTE,145.330000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUADA (OESTE) | NP4WX | 100.0,,,,
4,KP3AB_RIN_OESTE,146.730000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,RINCON (OESTE) | KP3AB | 123.0,,,,
5,KP4ILO_BQN_OESTE,146.750000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUADILLA (OESTE) | KP4ILO | 100.0,,,,
6,KP3AB_MAR_OESTE,146.770000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MARICAO (OESTE) | KP3AB | 123.0,,,,
7,WP3OF_QUE_OESTE,146.870000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,QUEBRADILLAS (OESTE) | WP3OF | 100.0,,,,
8,KP4FRA_MAR_OESTE,146.930000,-,0.600000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MARICAO (OESTE) | KP4FRA | 136.5,,,,
9,KP4LCS_BQN_OESTE,147.030000,+,0.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUADILLA (OESTE) | KP4LCS | 67.0,,,,
10,WP3YL-CAM-OESTE,440.300000,+,5.000000,Tone,85.4,85.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CAMUY (OESTE) | WP3YL | 85.4,,,,
11,WP4QFG-MAY-OESTE,440.400000,+,5.000000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MAYAGUEZ (OESTE) | WP4QFG | 94.8,,,,
12,KP4ARA-SAB-OESTE,440.600000,+,5.000000,Tone,85.4,85.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SABANA GRANDE (OESTE) | KP4ARA | 85.4,,,,
13,NP4NC-SSB-OESTE,446.150000,-,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN SEBASTIAN (OESTE) | NP4NC | 136.5 / C4FM,,,,
14,WP4DMR-SAB-OESTE,446.250000,-,5.000000,Tone,85.4,85.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SABANA GRANDE (OESTE) | WP4DMR | 85.4 / C4FM FUSION,,,,
15,NP4NN-AGD-OESTE,446.400000,-,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUADA (OESTE) | NP4NN | 136.5,,,,
16,KP4MSR-MOC-OESTE,446.625000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MOCA (OESTE) | KP4MSR | 127.3 / FUSION C4FM,,,,
17,KQ4HAC-SSB-OESTE,446.675000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN SEBASTIAN (OESTE) | KQ4HAC | 100.0,,,,
18,KP4PUA-ISA-OESTE,446.875000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,ISABELA (OESTE) | KP4PUA | 100.0,,,,
19,KP4U-ISA-OESTE,447.400000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,ISABELA (OESTE) | KP4U | 100.0 / C4FM FUSION,,,,
20,WP4CPV-MAR-OESTE,447.800000,-,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MARICAO (OESTE) | WP4CPV | 136.5,,,,
21,NP4PC-SSB-OESTE,448.650000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN SEBASTIAN (OESTE) | NP4PC | 100.0 / C4FM FUSION,,,,
22,WP4VH-MAY-OESTE,449.000000,-,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MAYAGUEZ (OESTE) | WP4VH | 136.5,,,,
23,WP3OF-AGD-OESTE,449.025000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUADA (OESTE) | WP3OF | 100.0,,,,
24,WP4HVS-SSB-OESTE,449.350000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN SEBASTIAN (OESTE) | WP4HVS | 100.0,,,,
25,NP3WP-MAR-OESTE,449.550000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MARICAO (OESTE) | NP3WP | 127.3,,,,
26,KP3JE-AGD-OESTE,449.625000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUADA (OESTE) | KP3JE | 88.5,,,,
27,KP4NIN-MAR-OESTE,449.775000,-,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MARICAO (OESTE) | KP4NIN | 123.0,,,,
