Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,UNICOM,122.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,TJRV Ceiba / TJPS Mercedita UNICOM (freq generica 122.7),,,,
2,RVR TWR,120.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,TJRV Ceiba Tower,,,,
3,RVR TWR UHF,227.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,TJRV Ceiba Tower UHF,,,,
4,RVR APP/DEP,128.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,San Juan CERAP El Yunque RCAG,,,,
5,RVR APP UHF,279.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,San Juan CERAP El Yunque RCAG UHF,,,,
6,RVR CRASH,138.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,Crash net,,,,
7,RVR GND VEH,140.037500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,Ground vehicles,,,,
8,BQN CTAF/TWR,124.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,Aguadilla Tower/CTAF,,,,
9,BQN ATIS,118.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,Aguadilla ATIS/AWOS-3PT,,,,
10,BQN GND/CD,120.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,Aguadilla Ground/Clearance,,,,
11,BQN EMERG,243.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,Aguadilla Emergency UHF,,,,
12,BQN OPS,345.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,Aguadilla Ops UHF,,,,
13,BQN APP/DEP,124.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,San Juan CERAP Borinquen RCAG,,,,
14,BQN APP UHF,269.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,San Juan CERAP Borinquen RCAG UHF,,,,
15,PSE AWOS,118.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,Mercedita AWOS-3PT,,,,
16,PSE APP/DEP,118.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,San Juan CERAP El Yunque RCAG,,,,
17,PSE APP UHF,269.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,San Juan CERAP El Yunque RCAG UHF,,,,
18,PSE CD,121.900000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,Mercedita Clearance Delivery,,,,
