Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,KP4ILO_LAR_CENTRO,146.750000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,LARES (CENTRO) | KP4ILO | BM DMR TG 330050 C1 S1,,,,
2,NP3EC_ARE_NORTE,146.850000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,ARECIBO (NORTE) | NP3EC | DMR TG 330050 C1 S1,,,,
3,WP3JJ-AGD-OESTE,440.750000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUADA (OESTE) | WP3JJ (KP4ECO) | DMR Plus TG-33015 - Color Code: 1 - TS Linked: TS1 TS2,,,,
4,KP4IGI-BAY-NORTE,440.800000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | KP4IGI | DMR C1 S1 TG 800,,,,
5,KP4CRN-BAY-NORTE,440.975000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | KP4CRN | DMR C8 S2 TG 330021,,,,
6,KP4CRN-BAY-NORTE,446.175000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BAYAMON (NORTE) | KP4CRN | DMR C1 S1 TG 330013 / C1 S2 TG 330021,,,,
7,WP3JJ-MOC-OESTE,446.525000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MOCA (OESTE) | WP3JJ (KP4ECO) | DMR Plus TG-33015 - Color Code: 1 - TS Linked: TS1 TS2,,,,
8,KP4IN-TRU-NORTE,446.550000,-,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,TRUJILLO ALTO (NORTE) | KP4IN | 136.5 / DMR,,,,
9,WP4JOT-PON-SUR,446.700000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PONCE (SUR) | WP4JOT | DMR TG 330105 C1 S1,,,,
10,WP4QFG-MAY-OESTE,446.925000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,"MAYAGUEZ (OESTE) | WP4QFG | DMR PLUS /COLOR 1, SLOT 1, SLOT 2 TG 33015",,,,
11,WP4JSJ-TOA-NORTE,447.300000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,TOA ALTA (NORTE) | WP4JSJ | DMR C1 S1 TG 330013 ISLA COMM,,,,
12,NP4TX-CAN-ESTE,447.325000,-,5.000000,Tone,74.4,74.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,CANOVANAS (ESTE) | NP4TX | 74.4 / DMR C1 S1 TG 330110,,,,
13,KP4EOP-AGB-CENTRO,447.425000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUAS BUENAS (CENTRO) | KP4EOP | DMR C1 S1 TG 3300,,,,
14,KP4NU-GUR-NORTE,447.500000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GURABO (NORTE) | KP4NU | DMR C1 S2 TG 330201,,,,
15,KP4EOP-FAJ-ESTE,448.150000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FAJARDO (ESTE) | KP4EOP | DMR C1 S1 TG 3300,,,,
16,WP4RWR-PON-SUR,448.600000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PONCE (SUR) | WP4RWR | DMR C1 S1 TG 330050,,,,
17,KP2O-STT-IV,448.600000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAINT THOMAS (IV) | KP2O | DMR C1 S1-2 TG 376001,,,,
18,KP3AV-COR-CENTRO,448.900000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,COROZAL (CENTRO) | KP3AV | 100.0 / DMR C1 S1 TG 33033 C4FM TG 7012920,,,,
19,NP4UG-BAR-CENTRO,449.425000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,BARRANQUITAS (CENTRO) | NP4UG | DMR C1 S1 TG 330013 Isla Comm,,,,
20,NP3KQ-RIO-ESTE,449.825000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,RIO GRANDE (ESTE) | NP3KQ | DMR C1 S1 TG 330013,,,,
21,NP4GT-ANA-OESTE,449.975000,-,5.000000,DTCS,88.5,88.5,115,NN,023,Tone->Tone,FM,5.00,,5.0W,ANASCO (OESTE) | NP4GT | DCS 115 / DMR C1 S1 TG 330013 / TG 330028,,,,
