Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,KP4QI_YAB_SUR,145.110000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,YABUCOA (SUR) | KP4QI | 100.0,,,,
2,WP4SIT_QUE_OESTE,145.130000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,QUEBRADILLA (OESTE) | WP4SIT | 100.0,,,,
3,KP4AMV_SJU_NORTE,145.150000,-,0.600000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SAN JUAN (NORTE) | KP4AMV | 136.5,,,,
4,KP4KJI_AGD_OESTE,145.170000,-,0.600000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUADA (OESTE) | KP4KJI | 114.8 / C4FM FUSION,,,,
5,KP3AB_FAJ_ESTE,145.190000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FAJARDO (ESTE) | KP3AB | 123.0,,,,
6,KP3AB_UTU_CENTRO,145.190000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,UTUADO (CENTRO) | KP3AB | 123.0,,,,
7,KP3AB_VIL_CENTRO,145.190000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VILLALBA (CENTRO) | KP3AB | 123.0,,,,
8,WP4J_PON_SUR,145.210000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PONCE (SUR) | WP4J | 123.0,,,,
9,WP4OCD_AGB_CENTRO,145.230000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUAS BUENAS (CENTRO) | WP4OCD | 77.0,,,,
10,NP3CB_FAJ_ESTE,145.250000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FAJARDO (ESTE) | NP3CB | 88.5,,,,
11,WP3ZQ_TOB_NORTE,145.270000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,TOA BAJA (NORTE) | WP3ZQ | 77.0,,,,
12,PRVIVFC_VEA_NORTE,145.290000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,VEGA ALTA (NORTE) | PRVIVFC | 100.0,,,,
13,WP4FD_LAJ_OESTE,145.310000,-,0.600000,DTCS,88.5,88.5,223,NN,023,Tone->Tone,FM,5.00,,5.0W,LAJAS (OESTE) | WP4FD | C4FM / FUSION DCS 223,,,,
14,NP4WX_AGD_OESTE,145.330000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AGUADA (OESTE) | NP4WX | 100.0,,,,
