Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KP4QI_YAB_SUR,145.110000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,YABUCOA (SUR) | KP4QI | 100.0,,,,
1,KP4KJI_YAU_SUR,145.170000,-,0.600000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,YAUCO (SUR) | KP4KJI | 114.8,,,,
2,WP4J_PON_SUR,145.210000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PONCE (SUR) | WP4J | 123.0,,,,
3,KP3AB_YAU_SUR,145.350000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,YAUCO (SUR) | KP3AB | 123.0,,,,
4,KP4CAR_YAU_SUR,147.210000,+,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,YAUCO (SUR) | KP4CAR | 127.3,,,,
5,KP4JUZ-PAT-SUR,440.675000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PATILLAS (SUR) | KP4JUZ | 127.3 / FUSION,,,,
6,NW4A-GUA-SUR,446.125000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GUAYAMA (SUR) | NW4A | OPEN,,,,
7,NP4AD-YAU-SUR,446.825000,-,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,YAUCO (SUR) | NP4AD | 110.9,,,,
8,KP4QI-GUA-SUR,446.900000,-,5.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,GUAYAMA (SUR) | KP4QI | 136.5,,,,
9,KP4KGZ-PAT-SUR,447.150000,-,5.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PATILLAS (SUR) | KP4KGZ | 107.2,,,,
10,KH2RU-PAT-SUR,447.825000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PATILLAS (SUR) | KH2RU | 127.3,,,,
11,WP4NVY-SIS-SUR,448.025000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SANTA ISABEL (SUR) | WP4NVY | 88.5,,,,
12,KP4KJI-YAU-SUR,448.200000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,YAUCO (SUR) | KP4KJI | 100.0,,,,
13,KP4NIN-PON-SUR,448.375000,-,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PONCE (SUR) | KP4NIN | 123.0,,,,
14,WP4X-PON-SUR,448.700000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PONCE (SUR) | WP4X | 100.0,,,,
15,WP4NWR-PON-SUR,448.850000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PONCE (SUR) | WP4NWR | 100.0,,,,
16,KP4SE-PON-SUR,448.975000,-,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PONCE (SUR) | KP4SE | 123.0,,,,
17,KP4ASD-PON-SUR,449.150000,-,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PONCE (SUR) | KP4ASD | 110.9 - C4FM YAESU,,,,
18,NP3F-MAU-SUR,449.175000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,MAUNABO (SUR) | NP3F | 127.3,,,,
19,KP4NZE-SAL-SUR,449.325000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,SALINAS (SUR) | KP4NZE | 127.3,,,,
20,KP4PSA-PON-SUR,449.375000,-,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PONCE (SUR) | KP4PSA | 100.0,,,,
21,KP4CAR-YAU-SUR,449.800000,-,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,YAUCO (SUR) | KP4CAR | 127.3,,,,
22,KP4LRL-JUA-SUR,449.875000,-,5.000000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,JUANA DIAZ (SUR) | KP4LRL | 77.0,,,,
